token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty,is_cas_enabled
13771,VGL-EQ,VGL,,-1.000000,1,,NSE,1.000000,1662778,False
15303,BANG-EQ,BANG,,-1.000000,1,,NSE,1.000000,443412,False
13890,HIRECT-EQ,HIRECT,,-1.000000,1,,NSE,10.000000,80465,False
15414,TITAGARH-EQ,TITAGARH,,-1.000000,1,,NSE,5.000000,119859,False
15420,ACL-EQ,ACL,,-1.000000,1,,NSE,1.000000,2166782,False
16045,PRINCEPIPE-EQ,PRINCEPIPE,,-1.000000,1,,NSE,5.000000,370821,False
14296,VIYASH-EQ,VIYASH,,-1.000000,1,,NSE,5.000000,380518,False
16395,MMP-EQ,MMP,,-1.000000,1,,NSE,5.000000,289665,False
14329,SMSPHARMA-EQ,SMSPHARMA,,-1.000000,1,,NSE,5.000000,270560,False
1442,SANOFI-EQ,SANOFI,,-1.000000,1,,NSE,10.000000,30814,False
16696,GHCLTEXTIL-EQ,GHCLTEXTIL,,-1.000000,1,,NSE,1.000000,862566,False
14511,BANSWRAS-EQ,BANSWRAS,,-1.000000,1,,NSE,1.000000,819653,False
14537,DISHTV-EQ,DISHTV,,-1.000000,1,,NSE,1.000000,35585955,False
14597,ALPHAGEO-EQ,ALPHAGEO,,-1.000000,1,,NSE,1.000000,208127,False
14607,TGBHOTELS-EQ,TGBHOTELS,,-1.000000,1,,NSE,1.000000,957665,False
14657,INSECTICID-EQ,INSECTICID,,-1.000000,1,,NSE,5.000000,159077,False
14732,DLF-EQ,DLF,,-1.000000,1,,NSE,5.000000,150994,True
14769,091NSETEST-EQ,091NSETEST,,-1.000000,1,,NSE,5.000000,500000,False
17130,PARAGMILK-EQ,PARAGMILK,,-1.000000,1,,NSE,1.000000,463373,False
17187,CYIENTDLM-EQ,CYIENTDLM,,-1.000000,1,,NSE,5.000000,145078,False
17197,PAKKA-EQ,PAKKA,,-1.000000,1,,NSE,1.000000,1413213,False
1491,IFCI-EQ,IFCI,,-1.000000,1,,NSE,1.000000,1357934,False
14908,KDDL-EQ,KDDL,,-1.000000,1,,NSE,10.000000,25963,False
17351,SALONA-EQ,SALONA,,-1.000000,1,,NSE,1.000000,172080,False
17376,LANDSMILL-EQ,LANDSMILL,,-1.000000,1,,NSE,1.000000,46129728,False
15002,SUPREMEINF-EQ,SUPREMEINF,,-1.000000,1,,NSE,1.000000,1191971,False
15049,ENERGYDEV-EQ,ENERGYDEV,,-1.000000,1,,NSE,1.000000,1553250,False
15058,AVALON-EQ,AVALON,,-1.000000,1,,NSE,10.000000,50892,False
15067,BLAL-EQ,BLAL,,-1.000000,1,,NSE,1.000000,585105,False
15141,COLPAL-EQ,COLPAL,,-1.000000,1,,NSE,10.000000,49773,True
17572,LIQUID-EQ,LIQUID,,-1.000000,1,,NSE,1.000000,99996,False
15174,TARIL-EQ,TARIL,,-1.000000,1,,NSE,5.000000,341888,False
17685,GPTINFRA-EQ,GPTINFRA,,-1.000000,1,,NSE,1.000000,841209,False
17702,MIDSELIETF-EQ,MIDSELIETF,,-1.000000,1,,NSE,1.000000,1891521,False
15283,KNRCON-EQ,KNRCON,,-1.000000,1,,NSE,1.000000,748646,False
15330,QGOLDHALF-EQ,QGOLDHALF,,-1.000000,1,,NSE,1.000000,797779,False
15391,RACE-EQ,RACE,,-1.000000,1,,NSE,1.000000,564310,False
154,APCOTEXIND-EQ,APCOTEXIND,,-1.000000,1,,NSE,5.000000,166214,False
1565,RVHL-EQ,RVHL,,-1.000000,1,,NSE,1.000000,2005351,False
15716,PIGL-EQ,PIGL,,-1.000000,1,,NSE,1.000000,686010,False
16123,BHARATWIRE-EQ,BHARATWIRE,,-1.000000,1,,NSE,1.000000,534137,False
16253,EBBETF0430-EQ,EBBETF0430,,-1.000000,1,,NSE,1.000000,61797,False
16669,BAJAJ-AUTO-EQ,BAJAJ-AUTO,,-1.000000,1,,NSE,100.000000,8384,True
16736,MKPL-EQ,MKPL,,-1.000000,1,,NSE,1.000000,12274664,False
16821,VINYLINDIA-EQ,VINYLINDIA,,-1.000000,1,,NSE,1.000000,411301,False
16875,SICAGEN-EQ,SICAGEN,,-1.000000,1,,NSE,1.000000,1293994,False
16921,20MICRONS-EQ,20MICRONS,,-1.000000,1,,NSE,1.000000,543094,False
16933,INDBANK-EQ,INDBANK,,-1.000000,1,,NSE,1.000000,1451167,False
17029,PATANJALI-EQ,PATANJALI,,-1.000000,1,,NSE,5.000000,282908,True
17181,NEXT50-EQ,NEXT50,,-1.000000,1,,NSE,1.000000,129700,False
17186,SHRIPISTON-EQ,SHRIPISTON,,-1.000000,1,,NSE,10.000000,22289,False
17256,ALBERTDAVD-EQ,ALBERTDAVD,,-1.000000,1,,NSE,5.000000,128645,False
17438,OIL-EQ,OIL,,-1.000000,1,,NSE,5.000000,211459,True
17576,PVTBANKADD-EQ,PVTBANKADD,,-1.000000,1,,NSE,1.000000,3591720,False
17641,SUNTECK-EQ,SUNTECK,,-1.000000,1,,NSE,5.000000,341554,False
10099,GODREJCP-EQ,GODREJCP,,-1.000000,1,,NSE,10.000000,109487,True
10277,NGLFINE-EQ,NGLFINE,,-1.000000,1,,NSE,10.000000,29333,False
10604,BHARTIARTL-EQ,BHARTIARTL,,-1.000000,1,,NSE,10.000000,48746,True
10738,OFSS-EQ,OFSS,,-1.000000,1,,NSE,100.000000,8532,True
10822,MOQUALITY-EQ,MOQUALITY,,-1.000000,1,,NSE,1.000000,66592,False
10825,MOVALUE-EQ,MOVALUE,,-1.000000,1,,NSE,1.000000,472092,False
10905,GENESYS-EQ,GENESYS,,-1.000000,1,,NSE,5.000000,480756,False
10990,RADICO-EQ,RADICO,,-1.000000,1,,NSE,10.000000,21964,True
1110,DANGEE-EQ,DANGEE,,-1.000000,1,,NSE,1.000000,5034982,False
11065,NATHBIOGEN-EQ,NATHBIOGEN,,-1.000000,1,,NSE,1.000000,621430,False
11223,UCOBANK-EQ,UCOBANK,,-1.000000,1,,NSE,1.000000,3812025,False
11255,HDFCQUAL-EQ,HDFCQUAL,,-1.000000,1,,NSE,1.000000,114835,False
11297,SIL-EQ,SIL,,-1.000000,1,,NSE,1.000000,2103556,False
11359,DHANBANK-EQ,DHANBANK,,-1.000000,1,,NSE,1.000000,3076677,False
11377,MAHABANK-EQ,MAHABANK,,-1.000000,1,,NSE,1.000000,1215265,False
11543,COFORGE-EQ,COFORGE,,-1.000000,1,,NSE,10.000000,55331,True
11571,PPLPHARMA-EQ,PPLPHARMA,,-1.000000,1,,NSE,1.000000,475291,False
1162,GTL-EQ,GTL,,-1.000000,1,,NSE,1.000000,5143604,False
11582,TRACXN-EQ,TRACXN,,-1.000000,1,,NSE,1.000000,3341048,False
11591,HDFCNIFTY-EQ,HDFCNIFTY,,-1.000000,1,,NSE,1.000000,362231,False
11630,NTPC-EQ,NTPC,,-1.000000,1,,NSE,5.000000,290899,True
11634,SALSTEEL-EQ,SALSTEEL,,-1.000000,1,,NSE,1.000000,1585974,False
11705,XCHANGING-EQ,XCHANGING,,-1.000000,1,,NSE,1.000000,1490915,False
